model_label,threshold,max_depth,learning_rate,scale_pos_weight,subsample,accuracy,roc_auc,precision_1,recall_1,f1_1,support_1,precision_0,recall_0,f1_0,support_0,fp_rate,fn_rate,percent_predicted_not_delayed,true_positives,false_positives,true_negatives,false_negatives
model_2,0.45,4,0.05,3,1.0,0.8236642757296359,0.6972282484517116,0.322455920755778,0.27138387079531684,0.29471156186054304,76919.33333333333,0.8883231326310294,0.9104196483702015,0.8992350422342512,489664.6666666667,0.08958035162979862,0.7286161292046831,88.57380370783501,20874.666666666668,43864.333333333336,445800.3333333333,56044.666666666664
model_3,0.15,4,0.05,5,0.8,0.15311292470901636,0.6972582705621196,0.13786941775935624,0.9971225272868045,0.24224434896506863,76919.33333333333,0.9784553453368233,0.02053105817148533,0.0402166414328167,489664.6666666667,0.9794689418285146,0.0028774727131954184,1.8134410196310993,76698.0,479611.3333333333,10053.333333333334,221.33333333333334
model_3,0.2,4,0.05,5,0.8,0.1938259228405085,0.6972582705621196,0.14272708048190755,0.9863883388046989,0.24937098252346032,76919.33333333333,0.9700866850404498,0.06932567526505229,0.129401693111898,489664.6666666667,0.9306743247349477,0.013611661195301107,6.176195115522735,75872.33333333333,455718.3333333333,33946.333333333336,1047.0
model_3,0.25,4,0.05,5,0.8,0.2534416785507533,0.6972582705621196,0.14985480124988704,0.9627618528125899,0.2593426467135209,76919.33333333333,0.9604397068891828,0.14201759804898662,0.24744508473819748,489664.6666666667,0.8579824019510133,0.037238147187410225,12.779276035562836,74055.0,420123.6666666667,69541.0,2864.3333333333335
model_3,0.3,4,0.05,5,0.8,0.3360896177795349,0.6972582705621196,0.1606483343964418,0.9208348117419889,0.2735697145524519,76919.33333333333,0.9515509962487775,0.244234488644262,0.38869856627893123,489664.6666666667,0.755765511355738,0.07916518825801112,22.18247132522862,70830.0,370071.6666666667,119593.0,6089.333333333333
model_3,0.35,4,0.05,5,0.8,0.43465517322527053,0.6972582705621196,0.1755124576494379,0.8557709730742614,0.29128431176748093,76919.33333333333,0.9420815209833742,0.36850388656281624,0.5297771792145873,489664.6666666667,0.6314961134371838,0.14422902692573855,33.80563752829824,65825.33333333333,309221.3333333333,180443.33333333334,11094.0
model_3,0.4,4,0.05,5,0.8,0.5362729386404604,0.6972582705621196,0.19433482868548,0.7679386921443393,0.31017491807030123,76919.33333333333,0.9320342628200949,0.4998815489121185,0.6507403587501015,489664.6666666667,0.5001184510878814,0.2320613078556606,46.352232560985364,59069.333333333336,244890.33333333334,244774.33333333334,17850.0
model_3,0.45,4,0.05,5,0.8,0.6401669184681059,0.6972582705621196,0.22008451226852474,0.6488572433210514,0.3286830382241179,76919.33333333333,0.9205152258700613,0.6388017928068602,0.7542100145181982,489664.6666666667,0.3611982071931396,0.3511427566789485,59.974925753874686,49909.666666666664,176866.0,312798.6666666667,27009.666666666668
model_4,0.15,4,0.05,5,1.0,0.152815822543524,0.6969862823454925,0.1378359253328024,0.9972048649276973,0.2421950811764961,76919.33333333333,0.9787251433161934,0.02017435126667218,0.03953265801935389,489664.6666666667,0.9798256487333279,0.0027951350723027044,1.7814951828266714,76704.33333333333,479786.0,9878.666666666666,215.0
model_4,0.2,4,0.05,5,1.0,0.19236923974791617,0.6969862823454925,0.1425440387354552,0.9867566896888835,0.249103255768272,76919.33333333333,0.9701443192870153,0.06758230541635518,0.12635717376543656,489664.6666666667,0.9324176945836449,0.013243310311116452,6.020525347227125,75900.66666666667,456572.0,33092.666666666664,1018.6666666666666
model_4,0.25,4,0.05,5,1.0,0.252053829029176,0.6969862823454925,0.1497048856623768,0.9635722273493704,0.2591474534210332,76919.33333333333,0.9608090584988865,0.14028443942421961,0.24482265005228676,489664.6666666667,0.8597155605757804,0.03642777265062963,12.618487873525078,74117.33333333333,420972.3333333333,68692.33333333333,2802.0
model_4,0.3,4,0.05,5,1.0,0.3336975041064814,0.6969862823454925,0.16026259852949964,0.9217361934682451,0.273049711847832,76919.33333333333,0.9515293166444238,0.24132501568664658,0.38500106347076585,489664.6666666667,0.7586749843133535,0.07826380653175485,21.91878579934014,70899.33333333333,371496.3333333333,118168.33333333333,6020.0
model_4,0.35,4,0.05,5,1.0,0.4326984171808593,0.6969862823454925,0.17516078208312305,0.85701903910909,0.29087197354310046,76919.33333333333,0.9421889612840039,0.3660437002901826,0.5272485563740114,489664.6666666667,0.6339562997098174,0.14298096089090992,33.5760746273574,65921.33333333333,310426.0,179238.66666666666,10998.0
model_4,0.4,4,0.05,5,1.0,0.5346038716236251,0.6969862823454925,0.19393376407666363,0.7692560978352757,0.30977192069033843,76919.33333333333,0.9321219272116689,0.49774335257768537,0.648951530839646,489664.6666666667,0.5022566474223146,0.23074390216472426,46.149555935218785,59170.666666666664,245937.33333333334,243727.33333333334,17748.666666666668
model_4,0.45,4,0.05,5,1.0,0.6399345316257902,0.6969862823454925,0.21997531113400157,0.64895691650978,0.32857444266296415,76919.33333333333,0.920503157212459,0.6385172441574575,0.7540081564513543,489664.6666666667,0.3614827558425426,0.3510430834902199,59.94898079249208,49917.333333333336,177005.33333333334,312659.3333333333,27002.0
model_5,0.15,4,0.1,3,0.8,0.25025356640262814,0.7041239715315664,0.14965131120585082,0.9659123405025992,0.2591515813840422,76919.33333333333,0.9626056299039806,0.13783378255085796,0.24113878400781552,489664.6666666667,0.862166217449142,0.03408765949740075,12.37492292993331,74297.33333333333,422172.3333333333,67492.33333333333,2622.0
model_5,0.2,4,0.1,3,0.8,0.3590059020374737,0.7041239715315664,0.1642947152736206,0.9106596505222334,0.27836801362135183,76919.33333333333,0.9509993379559094,0.27234896820626125,0.423430164462276,489664.6666666667,0.7276510317937387,0.08934034947776655,24.750375348874424,70047.33333333333,356305.0,133359.66666666666,6872.0
model_5,0.25,4,0.1,3,0.8,0.4772649186469555,0.7041239715315664,0.18369478517228402,0.8276982720515805,0.30066195232429904,76919.33333333333,0.939758777392357,0.42221683558925327,0.5826544388235081,489664.6666666667,0.5777831644107467,0.17230172794841955,38.82884091326264,63666.0,282920.0,206744.66666666666,13253.333333333334
model_5,0.3,4,0.1,3,0.8,0.58994017950854,0.7041239715315664,0.20820203872603946,0.7208200713178273,0.32308393237414273,76919.33333333333,0.9284861492533437,0.5693808133393593,0.7058859632194601,489664.6666666667,0.43061918666064075,0.2791799286821727,52.998319754881884,55445.0,210859.0,278805.6666666667,21474.333333333332
model_5,0.35,4,0.1,3,0.8,0.6841486287411339,0.7041239715315664,0.23713861392518806,0.5983671237106335,0.3396646592283677,76919.33333333333,0.9170638626012887,0.6976236802845451,0.7924324119393568,489664.6666666667,0.30237631971545476,0.40163287628936656,65.74400265450488,46026.0,148063.0,341601.6666666667,30893.333333333332
model_5,0.4,4,0.1,3,0.8,0.7587889292084963,0.7041239715315664,0.27244378237987155,0.4649676262448427,0.343572522617487,76919.33333333333,0.905458856045478,0.8049440647197081,0.8522477435933574,489664.6666666667,0.19505593528029183,0.5350323737551573,76.83009050732107,35765.0,95512.0,394152.6666666667,41154.333333333336
model_5,0.45,4,0.1,3,0.8,0.8110259614343739,0.7041239715315664,0.31454186885534563,0.33237417487963056,0.3232081715985428,76919.33333333333,0.8941827123380087,0.8862153291545548,0.8901808778838584,489664.6666666667,0.11378467084544519,0.6676258251203695,85.65396599033272,25566.0,55716.333333333336,433948.3333333333,51353.333333333336
model_6,0.15,4,0.1,3,1.0,0.2487574657950101,0.7039326585434806,0.14945691642339184,0.9664713668071938,0.25888010488874547,76919.33333333333,0.9627222765114976,0.13601485036437488,0.23835341509228644,489664.6666666667,0.8639851496356251,0.033528633192806225,12.210134184281001,74340.33333333333,423063.0,66601.66666666667,2579.0
model_6,0.2,4,0.1,3,1.0,0.3580975342285228,0.7039326585434806,0.16410685269473346,0.9107463236416499,0.27810252520301676,76919.33333333333,0.9508593458121055,0.271284294251062,0.42213163384197677,489664.6666666667,0.7287157057489381,0.0892536763583502,24.657185283500183,70054.0,356826.3333333333,132838.33333333334,6865.333333333333
model_6,0.25,4,0.1,3,1.0,0.47544171149673603,0.7039326585434806,0.18333717617626402,0.8290416797403141,0.30027128905035533,76919.33333333333,0.939887814117092,0.4198962014294804,0.5804675443355527,489664.6666666667,0.5801037985705196,0.17095832025968583,38.6100442888139,63769.333333333336,284056.3333333333,205608.33333333334,13150.0
model_6,0.3,4,0.1,3,1.0,0.5882969986209753,0.7039326585434806,0.20768820023653656,0.7220768075773019,0.32259081392252353,76919.33333333333,0.9285398941699464,0.5672820989617294,0.7042870534349639,489664.6666666667,0.4327179010382706,0.27792319242269814,52.799879041177775,55541.666666666664,211886.66666666666,277778.0,21377.666666666668
model_6,0.35,4,0.1,3,1.0,0.6836915032310595,0.7039326585434806,0.23674240968746826,0.5979814369405815,0.33919611500814245,76919.33333333333,0.9169395848930657,0.6971553324376564,0.7920838853447528,489664.6666666667,0.3028446675623437,0.40201856305941847,65.70876221942966,45996.333333333336,148292.33333333334,341372.3333333333,30923.0
model_6,0.4,4,0.1,3,1.0,0.7593572474102105,0.7039326585434806,0.2726281336971888,0.46314753361075306,0.34321996618837103,76919.33333333333,0.9052683116686007,0.8058875676829397,0.8526916286417782,489664.6666666667,0.19411243231706013,0.536852466389247,76.93634130155458,35625.0,95050.0,394614.6666666667,41294.333333333336
model_6,0.45,4,0.1,3,1.0,0.8117307701358786,0.7039326585434806,0.3154598634106144,0.33059307828442314,0.32284916683200965,76919.33333333333,0.8940473989874472,0.887310635834809,0.8906662740477932,489664.6666666667,0.11268936416519108,0.6694069217155768,85.77280685652966,25429.0,55180.0,434484.6666666667,51490.333333333336
model_7,0.15,4,0.1,5,0.8,0.16886581101243006,0.7041906926122609,0.13977479548346172,0.9937380294476807,0.24507798329297023,76919.33333333333,0.9755800213303697,0.03929015434129989,0.0755365107212266,489664.6666666667,0.9607098456587,0.006261970552319322,3.480625408883178,76437.66666666667,470425.6666666667,19239.0,481.6666666666667
model_7,0.2,4,0.1,5,0.8,0.21723227859122982,0.7041906926122609,0.1455942927982107,0.978930309311767,0.2534878254869068,76919.33333333333,0.9672015936598392,0.09758038530571912,0.1772737359223421,489664.6666666667,0.9024196146942808,0.02106969068823293,8.71933082002551,75298.66666666667,441883.0,47781.666666666664,1620.6666666666667
model_7,0.25,4,0.1,5,0.8,0.2859534802724162,0.7041906926122609,0.15422216156433707,0.9499302323397555,0.26536244322362684,76919.33333333333,0.9584998565295079,0.18165220551942443,0.305421419124986,489664.6666666667,0.8183477944805756,0.05006976766024449,16.378859974866923,73068.0,400716.0,88948.66666666667,3851.3333333333335
model_7,0.3,4,0.1,5,0.8,0.372427271743172,0.7041906926122609,0.16633995147184155,0.9030066103557224,0.28093044738850753,76919.33333333333,0.9499358636258225,0.2890808259023074,0.44326576455417505,489664.6666666667,0.7109191740976927,0.0969933896442776,26.30030733895298,69458.66666666667,348112.0,141552.66666666666,7460.666666666667
model_7,0.35,4,0.1,5,0.8,0.46586972687780337,0.7041906926122609,0.1816765335454764,0.8373664138356033,0.2985736991452887,76919.33333333333,0.941008612597801,0.4075128957879546,0.5687294770991165,489664.6666666667,0.5924871042120453,0.16263358616439674,37.42681285269851,64409.666666666664,290120.0,199544.66666666666,12509.666666666666
model_7,0.4,4,0.1,5,0.8,0.5609871322404681,0.7041906926122609,0.2010922251424059,0.7513845647062491,0.3172729193971705,76919.33333333333,0.9315005544086734,0.5310784109699717,0.6764757495640638,489664.6666666667,0.4689215890300283,0.24861543529375094,49.273129256503296,57796.0,229614.33333333334,260050.33333333334,19123.333333333332
model_7,0.45,4,0.1,5,0.8,0.650458419816538,0.7041906926122609,0.22557767777848836,0.647210499630046,0.33455129495815966,76919.33333333333,0.9215469558778784,0.650968622468499,0.7629788717989374,489664.6666666667,0.349031377531501,0.352789500369954,61.048788293821694,49783.0,170908.33333333334,318756.3333333333,27136.333333333332
model_8,0.15,4,0.1,5,1.0,0.1674044213508794,0.7038726230265152,0.13958680287617853,0.9939677078929559,0.24479591015787996,76919.33333333333,0.9754011808558588,0.03756312248342187,0.07233744264989508,489664.6666666667,0.962436877516578,0.0060322921070441625,3.328250238858375,76455.33333333333,471271.3333333333,18393.333333333332,464.0
model_8,0.2,4,0.1,5,1.0,0.2160385750391822,0.7038726230265152,0.1454347261964534,0.9792206552729926,0.25325566400542826,76919.33333333333,0.9671723905157585,0.09615355843579161,0.17491578993599943,489664.6666666667,0.9038464415642083,0.0207793447270074,8.592076961815607,75321.0,442581.6666666667,47083.0,1598.3333333333333
model_8,0.25,4,0.1,5,1.0,0.28445326141695965,0.7038726230265152,0.15400574924613208,0.9504632563648597,0.2650627618567986,76919.33333333333,0.9585247886957173,0.17983259287208286,0.3028466831384448,489664.6666666667,0.8201674071279171,0.04953674363514018,16.21436538977451,73109.0,401607.0,88057.66666666667,3810.3333333333335
model_8,0.3,4,0.1,5,1.0,0.3706058295563117,0.7038726230265152,0.1659548992087123,0.9032102886060346,0.2803909868975946,76919.33333333333,0.9496798471255299,0.2869412670029246,0.4407198211659154,489664.6666666667,0.7130587329970753,0.09678971139396546,26.112632901740962,69474.33333333333,349159.6666666667,140505.0,7445.0
model_8,0.35,4,0.1,5,1.0,0.46450717516437695,0.7038726230265152,0.181323066338397,0.8376654278806089,0.2981152220360883,76919.33333333333,0.940888343658083,0.40588933554517675,0.5671252136171016,489664.6666666667,0.5941106644548232,0.16233457211939115,37.28243884990281,64432.666666666664,290915.0,198749.66666666666,12486.666666666666
model_8,0.4,4,0.1,5,1.0,0.5598487308736804,0.7038726230265152,0.2007410215512393,0.7520042618507699,0.31689067897801476,76919.33333333333,0.9314896162959331,0.5296638376338222,0.6753241434526448,489664.6666666667,0.47033616236617776,0.24799573814923023,49.14246313579863,57843.666666666664,230307.0,259357.66666666666,19075.666666666668
model_8,0.45,4,0.1,5,1.0,0.6494982797490457,0.7038726230265152,0.22512169534125973,0.6477261909242431,0.3341178194264572,76919.33333333333,0.9215205184288541,0.6497766502956724,0.7621500188431733,489664.6666666667,0.3502233497043275,0.3522738090757569,60.938772244421536,49822.666666666664,171492.0,318172.6666666667,27096.666666666668
model_9,0.15,6,0.05,3,0.8,0.24388734356541422,0.7067308479617744,0.14897435407167972,0.9696391880168505,0.2582685809451053,76919.33333333333,0.9645817654716708,0.12988208244631538,0.22893699349514926,489664.6666666667,0.8701179175536846,0.03036081198314951,11.637109413608576,74584.0,426066.0,63598.666666666664,2335.3333333333335
model_9,0.2,6,0.05,3,0.8,0.35368394918788154,0.7067308479617744,0.1637915671335554,0.9160592463168618,0.2778951933577449,76919.33333333333,0.9526605512193532,0.2653428120666075,0.41507162701785144,489664.6666666667,0.7346571879333924,0.08394075368313814,24.071570440864317,70462.66666666667,359735.6666666667,129929.0,6456.666666666667
model_9,0.25,6,0.05,3,0.8,0.4771760821578677,0.7067308479617744,0.18413507418263597,0.8310307691064084,0.30147164681634864,76919.33333333333,0.9407715365133749,0.4215905571583576,0.5822532786088582,489664.6666666667,0.5784094428416425,0.16896923089359164,38.729473476130636,63922.333333333336,283226.6666666667,206438.0,12997.0
model_9,0.3,6,0.05,3,0.8,0.5946367470077988,0.7067308479617744,0.210263011347565,0.7205817272676693,0.32553549935796355,76919.33333333333,0.9290626091566141,0.5748525858154235,0.7102440283404273,489664.6666666667,0.4251474141845765,0.2794182727323307,53.47444803712542,55426.666666666664,208179.66666666666,281485.0,21492.666666666668
model_9,0.35,6,0.05,3,0.8,0.6892529027764049,0.7067308479617744,0.2399948904639997,0.5948786163591787,0.34201005448464744,76919.33333333333,0.9171069764752463,0.7040777565218987,0.7965955321275197,489664.6666666667,0.2959222434781012,0.40512138364082123,66.3491497583177,45757.666666666664,144902.66666666666,344762.0,31161.666666666668
model_9,0.4,6,0.05,3,0.8,0.7647156761692294,0.7067308479617744,0.27747473760441327,0.45705457072012123,0.3453123732923678,76919.33333333333,0.9050586191502443,0.8130448461751189,0.856587774027683,489664.6666666667,0.18695515382488118,0.5429454292798788,77.63762007634055,35156.333333333336,91545.33333333333,398119.3333333333,41763.0
model_9,0.45,6,0.05,3,0.8,0.8146047188060376,0.7067308479617744,0.3198257510135192,0.32445679553847,0.322117192485188,76919.33333333333,0.8936392347464569,0.891599966788511,0.8926179104413009,489664.6666666667,0.10840003321148911,0.67554320446153,86.2268142646692,24957.0,53079.666666666664,436585.0,51962.333333333336
model_10,0.15,6,0.05,3,1.0,0.24218238896027186,0.7063958683193231,0.14875236128544486,0.9702415502895981,0.2579562183283827,76919.33333333333,0.9647162067161617,0.12781468173422247,0.225723179177679,489664.6666666667,0.8721853182657776,0.029758449710401817,11.450258625964258,74630.33333333333,427078.3333333333,62586.333333333336,2289.0
model_10,0.2,6,0.05,3,1.0,0.3533691973887955,0.7063958683193231,0.16369429076830674,0.9158165695487703,0.27774408334136547,76919.33333333333,0.952474630722214,0.2650167394146938,0.4146563088544673,489664.6666666667,0.7349832605853063,0.08418343045122977,24.046684457497324,70444.0,359895.3333333333,129769.33333333333,6475.333333333333
model_10,0.25,6,0.05,3,1.0,0.4766648311047729,0.7063958683193231,0.18399489602030542,0.8311261091264948,0.30129007452011536,76919.33333333333,0.940722297404319,0.42098401990535916,0.5816656003221866,489664.6666666667,0.5790159800946408,0.16887389087350524,38.6757597578941,63929.666666666664,283523.6666666667,206141.0,12989.666666666666
model_10,0.3,6,0.05,3,1.0,0.5944355411848316,0.7063958683193231,0.21007689241684924,0.7200183664986454,0.325254896149672,76919.33333333333,0.9289132200408762,0.5747082696285228,0.7100901153882596,489664.6666666667,0.42529173037147716,0.2799816335013545,53.469623803943165,55383.333333333336,208250.33333333334,281414.3333333333,21536.0
model_10,0.35,6,0.05,3,1.0,0.6892917319703109,0.7063958683193231,0.23979886866516906,0.5938125589004284,0.3416349858782961,76919.33333333333,0.9169297830486798,0.7042901469798414,0.7966647441283911,489664.6666666667,0.29570985302015873,0.40618744109957156,66.38197807680179,45675.666666666664,144798.66666666666,344866.0,31243.666666666668
