accuracy,roc_auc,precision_1,recall_1,f1_1,support_1,precision_0,recall_0,f1_0,support_0,fp_rate,fn_rate,percent_predicted_not_delayed,true_positives,false_positives,true_negatives,false_negatives,threshold
0.13265877370667775,0.7193970562327611,0.1326310985455734,1.0,0.2341999945364148,274340,1.0,3.6785811823851695e-05,7.356891735535348e-05,1794170,0.9999632141881761,0.0,0.00319070248633074,274340,1794104,66,0,0.05
0.1420133332688747,0.7193970562327611,0.13380457002946328,0.9991944302690092,0.2360051175380716,274340,0.9888709839863028,0.0109448937391663,0.021650161960013847,1794170,0.9890551062608337,0.0008055697309907414,0.9600146965690279,274119,1774533,19637,221,0.1
0.1784603410184142,0.7193970562327611,0.13823695021154547,0.9924363927972589,0.24267199906590914,274340,0.9790312964216781,0.053998227592703035,0.10235129497387127,1794170,0.946001772407297,0.007563607202741124,4.783974938482289,272265,1697288,96882,2075,0.15
0.23747480070195454,0.7193970562327611,0.1456265737301232,0.9758620689655172,0.2534335955378996,274340,0.9712240845113266,0.1245706928551921,0.22081882415243248,1794170,0.8754293071448079,0.02413793103448276,11.125061034271045,267718,1570669,223501,6622,0.2
0.31794286708790387,0.7193970562327611,0.15643666958485894,0.9431544798425312,0.2683614647270283,274340,0.9623779908230764,0.22234403651827864,0.3612307396970509,1794170,0.7776559634817214,0.05684552015746883,20.039448685285542,258745,1395247,398923,15595,0.25
0.4094207908107768,0.7193970562327611,0.17049491904632375,0.8933221549901582,0.28634037225860764,274340,0.9536257512878654,0.33542919567265084,0.49629213941803174,1794170,0.6645708043273492,0.1066778450098418,30.509062078500946,245074,1192353,601817,29266,0.3
0.5022562134096523,0.7193970562327611,0.18759027951281743,0.8265254793322155,0.30577997499807835,274340,0.9446464378596917,0.45267338100625915,0.6120521459840373,1794170,0.5473266189937408,0.1734745206677845,41.564411097843376,226749,981997,812173,47591,0.35
0.5930336329048446,0.7193970562327611,0.2088037159887683,0.7416162426186484,0.32586063853982145,274340,0.9352131290180473,0.5703144072189369,0.7085430302157397,1794170,0.4296855927810631,0.2583837573813516,52.89440225089557,203455,770929,1023241,70885,0.4
0.6724352311567263,0.7193970562327611,0.23339852401939587,0.6433841218925421,0.34253621493853476,274340,0.9254465745157046,0.6768773304647832,0.7818816219353556,1794170,0.32312266953521684,0.3566158781074579,63.440205751966396,176506,579737,1214433,97834,0.45
0.741447708737207,0.7193970562327611,0.2636187088226219,0.5294379237442589,0.35197925627945853,274340,0.9149320610988837,0.773865352781509,0.8385069948757591,1794170,0.226134647218491,0.47056207625574104,73.36391895615685,145246,405724,1388446,129094,0.5
0.7954484145592722,0.7193970562327611,0.30075771982311833,0.4093096158052052,0.3467362053552818,274340,0.9044039092636476,0.8544914918876138,0.8787395147998622,1794170,0.14550850811238622,0.5906903841947948,81.95043775471233,112290,261067,1533103,162050,0.55
0.8313428506509517,0.7193970562327611,0.3417690344660668,0.29339141211635195,0.3157378586124857,274340,0.894244035607143,0.9135990457983357,0.9038179320368783,1794170,0.08640095420166428,0.706608587883648,88.61465499320768,80489,155018,1639152,193851,0.6
0.8523632953188527,0.7193970562327611,0.38502614388766276,0.18949843260188087,0.25399035572427336,274340,0.8849990276639937,0.9537195472000981,0.9180751023833195,1794170,0.0462804527999019,0.8105015673981191,93.47249952864622,51987,83035,1711135,222353,0.65
0.8632165181700838,0.7193970562327611,0.43238652448806264,0.10021141649048626,0.16271210516036247,274340,0.876879369234207,0.9798848492617757,0.9255249535547648,1794170,0.02011515073822436,0.8997885835095137,96.92619325021393,27492,36090,1758080,246848,0.7
0.867213598193869,0.7193970562327611,0.4916935159081756,0.03560180797550485,0.06639610610324809,274340,0.8708547011050225,0.9943723281517359,0.9285237700686163,1794170,0.0056276718482640995,0.9643981920244952,99.03969523956859,9767,10097,1784073,264573,0.75
0.8676134028842016,0.7193970562327611,0.5754172989377845,0.006911132171757673,0.013658220325247177,274340,0.868079594618478,0.9992202522614914,0.9290449125961779,1794170,0.000779747738508614,0.9930888678282423,99.84070659556879,1896,1399,1792771,272444,0.8
0.8674519340008026,0.7193970562327611,0.6899766899766899,0.0010789531238609026,0.00215453708387773,274340,0.8674887492317758,0.9999258710155671,0.9290110870577806,1794170,7.412898443291327e-05,0.9989210468761391,99.97926043383885,296,133,1794037,274044,0.85
0.8673866696317639,0.7193970562327611,0.75,0.00015309470000729022,0.00030612691147101275,274340,0.8673898476833423,0.9999921969490071,0.9289829918728822,1794170,7.803050992938238e-06,0.9998469052999928,99.99729273728433,42,14,1794156,274298,0.9
0.8673731333181856,0.7193970562327611,0.0,0.0,0.0,274340,0.8673731333181856,1.0,0.9289767726034773,1794170,0.0,1.0,100.0,0,0,1794170,274340,0.95
0.8673731333181856,0.7193970562327611,0.0,0.0,0.0,274340,0.8673731333181856,1.0,0.9289767726034773,1794170,0.0,1.0,100.0,0,0,1794170,274340,1.0
