threshold,precision_1,recall_1,f1_1,precision_0,recall_0,f1_0,fp_rate,fn_rate,percent_predicted_not_delayed,roc_auc,accuracy
0.05,0.13080198716203212,1.0,0.2313437518628795,1.0,6.632443259447916e-05,0.00013264006791171478,0.9999336755674055,0.0,0.005764956514489553,0.7171627387492021,0.13085209604949702
0.1,0.13145421693838613,0.9995117684154851,0.2323501122744167,0.9883995703544576,0.006259665935737407,0.012440544250152008,0.9937403340642625,0.0004882315845149216,0.5504794374348486,0.7171627387492021,0.136171524898995
0.15,0.1352939330370137,0.9939084068506124,0.23816772723789015,0.9796468598012265,0.0441200329377336,0.08443729139578293,0.9558799670622664,0.006091593149387563,3.914612420495337,0.7171627387492021,0.16834707758094147
0.2,0.14246348665762962,0.977288189994417,0.24867635551519254,0.971092212619538,0.11480589219456663,0.20533622331363657,0.8851941078054334,0.02271181000558302,10.276049769017408,0.7171627387492021,0.22761378693785023
0.25,0.15367803718033685,0.941871057134397,0.2642417324582263,0.9616747066774562,0.21948353334401327,0.35739794279435255,0.7805164666559867,0.05812894286560295,19.837924899468025,0.7171627387492021,0.3139678096653783
0.3,0.16835916072848542,0.8886967607190567,0.28308860059530755,0.9529772391961383,0.339429058876709,0.5005673028885799,0.660570941123291,0.11130323928094338,30.959146857389165,0.7171627387492021,0.411270223910911
0.35,0.18639991287818378,0.8163254696403587,0.3034988424029278,0.94376427779035,0.46383872891095623,0.6219856321957036,0.5361612710890438,0.18367453035964132,42.71948076367049,0.7171627387492021,0.5099420370577318
0.4,0.20817004890586188,0.7253426097334391,0.323497716167678,0.9339957728874894,0.5848321804786447,0.719279340632403,0.4151678195213553,0.2746573902665609,54.426304047945514,0.7171627387492021,0.6032101642983043
0.45,0.2337496212727279,0.6208068026934109,0.33962264150943394,0.9240051496748838,0.6937732922053826,0.7925066598855274,0.30622670779461736,0.37919319730658907,65.26279628181,0.7171627387492021,0.684229680597758
0.5,0.26576574435983036,0.505642917364544,0.3484082380233354,0.9139199992443253,0.7897933840868299,0.84733497553034,0.21020661591317008,0.494357082635456,75.11519565671134,0.7171627387492021,0.7526280810736182
0.55,0.30338072180075004,0.38930818036540515,0.34101483766478047,0.9040147620406092,0.8654858876913077,0.8843308635453736,0.13451411230869229,0.6106918196345948,83.21602385923336,0.7171627387492021,0.8032044880334285
0.6,0.34401728513768853,0.2781948089228843,0.3076244380930719,0.8944253757841165,0.9201770148087153,0.9071184701672386,0.07982298519128476,0.7218051910771157,89.42310819256492,0.7171627387492021,0.8362093075370746
0.65,0.38416075094784613,0.1848250390472251,0.24957574351711675,0.8862197936368469,0.955415696034105,0.9195177935325647,0.04458430396589495,0.8151749609527749,93.70729867145839,0.7171627387492021,0.8546267175874929
0.7,0.4300314536261795,0.10785171321819205,0.1724524278511665,0.8793543975651901,0.9784897960710767,0.9262771421791534,0.021510203928923336,0.8921482867818079,96.71968061549632,0.7171627387492021,0.8646151699361361
0.75,0.48936277730052047,0.04377809874483797,0.08036664585023372,0.873450759334332,0.9931260677808491,0.9294519308466421,0.006873932219150891,0.956221901255162,98.82992077471555,0.7171627387492021,0.8689566256497402
0.8,0.5505785740948115,0.01000196648832652,0.019647019647019648,0.8702053567539071,0.998771467433173,0.9300664084064738,0.0012285325668269678,0.9899980335116735,99.76239509996434,0.7171627387492021,0.8694459078564828
0.85,0.7074542897327707,0.0011369466991250257,0.002270244897590742,0.8693267924282815,0.9999292539385659,0.930065512074874,7.07460614341111e-05,0.998863053300875,99.97898008163179,0.7171627387492021,0.8692927669603543
0.9,0.6666666666666666,3.164463973707825e-05,6.328627546707531e-05,0.8692088804532763,0.9999976191229325,0.9300275931748094,2.3808770674941233e-06,0.999968355360263,99.99937915852921,0.7171627387492021,0.8692076229872172
0.95,0.0,0.0,0.0,0.8692055535156479,1.0,0.9300267184428428,0.0,1.0,100.0,0.7171627387492021,0.8692055535156479
1.0,0.0,0.0,0.0,0.8692055535156479,1.0,0.9300267184428428,0.0,1.0,100.0,0.7171627387492021,0.8692055535156479
